"kommune_nr","spraaknivaa","provetype","enhet","aar","tabellvariabel","tabell_navn"
"1528","a1","muntlig","personer","2015","3","norsk_prover"
"1534","a1","muntlig","personer","2015","0","norsk_prover"
"1535","a1","muntlig","personer","2015","2","norsk_prover"
"1539","a1","muntlig","personer","2015",":","norsk_prover"
"1548","a1","muntlig","personer","2015",":","norsk_prover"
"1551","a1","muntlig","personer","2015",":","norsk_prover"
"1557","a1","muntlig","personer","2015",":","norsk_prover"
"1560","a1","muntlig","personer","2015","0","norsk_prover"
"1563","a1","muntlig","personer","2015","2","norsk_prover"
"1566","a1","muntlig","personer","2015",":","norsk_prover"
"1571","a1","muntlig","personer","2015",":","norsk_prover"
"1601","a1","muntlig","personer","2015","30","norsk_prover"
"1612","a1","muntlig","personer","2015",":","norsk_prover"
"1617","a1","muntlig","personer","2015",":","norsk_prover"
"1621","a1","muntlig","personer","2015",":","norsk_prover"
"1624","a1","muntlig","personer","2015","6","norsk_prover"
"1630","a1","muntlig","personer","2015",":","norsk_prover"
"1635","a1","muntlig","personer","2015","4","norsk_prover"
"1638","a1","muntlig","personer","2015","2","norsk_prover"
"1640","a1","muntlig","personer","2015","5","norsk_prover"
"1653","a1","muntlig","personer","2015","1","norsk_prover"
"1702","a1","muntlig","personer","2015","2","norsk_prover"
"1703","a1","muntlig","personer","2015","5","norsk_prover"
"1711","a1","muntlig","personer","2015",":","norsk_prover"
"1714","a1","muntlig","personer","2015","5","norsk_prover"
"1719","a1","muntlig","personer","2015","5","norsk_prover"
"1721","a1","muntlig","personer","2015","0","norsk_prover"
"1736","a1","muntlig","personer","2015",":","norsk_prover"
"1750","a1","muntlig","personer","2015","3","norsk_prover"
"1751","a1","muntlig","personer","2015","3","norsk_prover"
"1756","a1","muntlig","personer","2015","1","norsk_prover"
"1804","a1","muntlig","personer","2015","6","norsk_prover"
"1805","a1","muntlig","personer","2015","1","norsk_prover"
"1813","a1","muntlig","personer","2015",":","norsk_prover"
"1818","a1","muntlig","personer","2015",":","norsk_prover"
"1820","a1","muntlig","personer","2015","6","norsk_prover"
"1822","a1","muntlig","personer","2015",":","norsk_prover"
"1824","a1","muntlig","personer","2015","0","norsk_prover"
"1826","a1","muntlig","personer","2015",":","norsk_prover"
"1827","a1","muntlig","personer","2015",":","norsk_prover"
"1828","a1","muntlig","personer","2015",":","norsk_prover"
"1832","a1","muntlig","personer","2015",":","norsk_prover"
"1833","a1","muntlig","personer","2015","7","norsk_prover"
"1834","a1","muntlig","personer","2015",":","norsk_prover"
"1838","a1","muntlig","personer","2015",":","norsk_prover"
"1840","a1","muntlig","personer","2015",":","norsk_prover"
"1841","a1","muntlig","personer","2015","2","norsk_prover"
"1848","a1","muntlig","personer","2015",":","norsk_prover"
"1849","a1","muntlig","personer","2015",":","norsk_prover"
"1850","a1","muntlig","personer","2015",":","norsk_prover"
"1851","a1","muntlig","personer","2015","3","norsk_prover"
"1854","a1","muntlig","personer","2015",":","norsk_prover"
"1860","a1","muntlig","personer","2015","6","norsk_prover"
"1865","a1","muntlig","personer","2015","0","norsk_prover"
"1866","a1","muntlig","personer","2015","4","norsk_prover"
"1867","a1","muntlig","personer","2015",":","norsk_prover"
"1868","a1","muntlig","personer","2015","0","norsk_prover"
"1870","a1","muntlig","personer","2015","1","norsk_prover"
"1871","a1","muntlig","personer","2015",":","norsk_prover"
"1903","a1","muntlig","personer","2015","7","norsk_prover"
"1902","a1","muntlig","personer","2015","25","norsk_prover"
"1919","a1","muntlig","personer","2015",":","norsk_prover"
"1922","a1","muntlig","personer","2015",":","norsk_prover"
"1923","a1","muntlig","personer","2015","0","norsk_prover"
"1924","a1","muntlig","personer","2015","1","norsk_prover"
"1927","a1","muntlig","personer","2015","1","norsk_prover"
"1929","a1","muntlig","personer","2015",":","norsk_prover"
"1931","a1","muntlig","personer","2015","11","norsk_prover"
"1933","a1","muntlig","personer","2015",":","norsk_prover"
"1939","a1","muntlig","personer","2015",":","norsk_prover"
"1940","a1","muntlig","personer","2015",":","norsk_prover"
"1941","a1","muntlig","personer","2015",":","norsk_prover"
"1942","a1","muntlig","personer","2015","1","norsk_prover"
"2003","a1","muntlig","personer","2015","5","norsk_prover"
"2004","a1","muntlig","personer","2015","3","norsk_prover"
"2011","a1","muntlig","personer","2015",":","norsk_prover"
"2012","a1","muntlig","personer","2015","0","norsk_prover"
"2020","a1","muntlig","personer","2015","3","norsk_prover"
"2023","a1","muntlig","personer","2015",":","norsk_prover"
"2025","a1","muntlig","personer","2015",":","norsk_prover"
"2028","a1","muntlig","personer","2015",":","norsk_prover"
"2030","a1","muntlig","personer","2015","2","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"","a1","muntlig","personer","2015","","norsk_prover"
"0101","a1","lytting","personer","2015","2","norsk_prover"
"0104","a1","lytting","personer","2015","2","norsk_prover"
"0105","a1","lytting","personer","2015","5","norsk_prover"
"0106","a1","lytting","personer","2015","2","norsk_prover"
"0124","a1","lytting","personer","2015","3","norsk_prover"
"0231","a1","lytting","personer","2015","8","norsk_prover"
"0214","a1","lytting","personer","2015","9","norsk_prover"
"0216","a1","lytting","personer","2015","0","norsk_prover"
"0217","a1","lytting","personer","2015","5","norsk_prover"
"0219","a1","lytting","personer","2015","12","norsk_prover"
"0220","a1","lytting","personer","2015","7","norsk_prover"
"0221","a1","lytting","personer","2015","0","norsk_prover"
"0226","a1","lytting","personer","2015","1","norsk_prover"
"0228","a1","lytting","personer","2015",":","norsk_prover"
"0230","a1","lytting","personer","2015","17","norsk_prover"
"0231","a1","lytting","personer","2015","14","norsk_prover"
"0233","a1","lytting","personer","2015","0","norsk_prover"
"0235","a1","lytting","personer","2015","3","norsk_prover"
"0301","a1","lytting","personer","2015","93","norsk_prover"
"0402","a1","lytting","personer","2015","3","norsk_prover"
"0403","a1","lytting","personer","2015","4","norsk_prover"
"0412","a1","lytting","personer","2015","0","norsk_prover"
"0415","a1","lytting","personer","2015","3","norsk_prover"
"0417","a1","lytting","personer","2015","9","norsk_prover"
"0425","a1","lytting","personer","2015","2","norsk_prover"
"0427","a1","lytting","personer","2015","5","norsk_prover"
"0428","a1","lytting","personer","2015",":","norsk_prover"
"0430","a1","lytting","personer","2015",":","norsk_prover"
"0432","a1","lytting","personer","2015",":","norsk_prover"
"0434","a1","lytting","personer","2015",":","norsk_prover"
"0437","a1","lytting","personer","2015","0","norsk_prover"
"0501","a1","lytting","personer","2015","4","norsk_prover"
"0502","a1","lytting","personer","2015","8","norsk_prover"
"0513","a1","lytting","personer","2015",":","norsk_prover"
"0514","a1","lytting","personer","2015",":","norsk_prover"
"0515","a1","lytting","personer","2015",":","norsk_prover"
"0516","a1","lytting","personer","2015",":","norsk_prover"
"0517","a1","lytting","personer","2015","4","norsk_prover"
"0520","a1","lytting","personer","2015","","norsk_prover"
"0521","a1","lytting","personer","2015",":","norsk_prover"
"0528","a1","lytting","personer","2015","0","norsk_prover"
"0529","a1","lytting","personer","2015","4","norsk_prover"
"0533","a1","lytting","personer","2015","1","norsk_prover"
"0536","a1","lytting","personer","2015",":","norsk_prover"
"0538","a1","lytting","personer","2015","3","norsk_prover"
"0540","a1","lytting","personer","2015",":","norsk_prover"
"0542","a1","lytting","personer","2015","3","norsk_prover"
"0543","a1","lytting","personer","2015",":","norsk_prover"
"0545","a1","lytting","personer","2015",":","norsk_prover"
"0602","a1","lytting","personer","2015","9","norsk_prover"
"0604","a1","lytting","personer","2015","0","norsk_prover"
"0605","a1","lytting","personer","2015","2","norsk_prover"
"0617","a1","lytting","personer","2015","2","norsk_prover"
"0619","a1","lytting","personer","2015",":","norsk_prover"
"0623","a1","lytting","personer","2015","0","norsk_prover"
"0624","a1","lytting","personer","2015","15","norsk_prover"
"0625","a1","lytting","personer","2015","2","norsk_prover"
"0626","a1","lytting","personer","2015","4","norsk_prover"
"0628","a1","lytting","personer","2015","0","norsk_prover"
"0633","a1","lytting","personer","2015","7","norsk_prover"
"0701","a1","lytting","personer","2015","10","norsk_prover"
"0704","a1","lytting","personer","2015","4","norsk_prover"
"0706","a1","lytting","personer","2015","6","norsk_prover"
"0709","a1","lytting","personer","2015","4","norsk_prover"
"0713","a1","lytting","personer","2015",":","norsk_prover"
"0805","a1","lytting","personer","2015","7","norsk_prover"
"0806","a1","lytting","personer","2015","7","norsk_prover"
"0807","a1","lytting","personer","2015","4","norsk_prover"
"0814","a1","lytting","personer","2015","6","norsk_prover"
"0815","a1","lytting","personer","2015","0","norsk_prover"
"0817","a1","lytting","personer","2015",":","norsk_prover"
"0819","a1","lytting","personer","2015","3","norsk_prover"
"0821","a1","lytting","personer","2015",":","norsk_prover"
"0822","a1","lytting","personer","2015","2","norsk_prover"
"0826","a1","lytting","personer","2015",":","norsk_prover"
"0828","a1","lytting","personer","2015","7","norsk_prover"
"0901","a1","lytting","personer","2015","2","norsk_prover"
"0904","a1","lytting","personer","2015","2","norsk_prover"
"0906","a1","lytting","personer","2015","1","norsk_prover"
"0926","a1","lytting","personer","2015","0","norsk_prover"
"0928","a1","lytting","personer","2015","3","norsk_prover"
"0937","a1","lytting","personer","2015",":","norsk_prover"
"0940","a1","lytting","personer","2015","5","norsk_prover"
"0941","a1","lytting","personer","2015",":","norsk_prover"
"1001","a1","lytting","personer","2015","12","norsk_prover"
"1002","a1","lytting","personer","2015","2","norsk_prover"
"1003","a1","lytting","personer","2015","3","norsk_prover"
"1004","a1","lytting","personer","2015","4","norsk_prover"
"1014","a1","lytting","personer","2015","0","norsk_prover"
"1017","a1","lytting","personer","2015","8","norsk_prover"
"1026","a1","lytting","personer","2015",":","norsk_prover"
"1027","a1","lytting","personer","2015",":","norsk_prover"
"1032","a1","lytting","personer","2015","1","norsk_prover"
"1037","a1","lytting","personer","2015","2","norsk_prover"
"1046","a1","lytting","personer","2015","1","norsk_prover"
"1101","a1","lytting","personer","2015","0","norsk_prover"
"1102","a1","lytting","personer","2015","17","norsk_prover"
"1103","a1","lytting","personer","2015","14","norsk_prover"
"1106","a1","lytting","personer","2015","11","norsk_prover"
"1112","a1","lytting","personer","2015",":","norsk_prover"
"1119","a1","lytting","personer","2015","2","norsk_prover"
"1121","a1","lytting","personer","2015","3","norsk_prover"
"1122","a1","lytting","personer","2015","4","norsk_prover"
"1124","a1","lytting","personer","2015","1","norsk_prover"
"1130","a1","lytting","personer","2015","4","norsk_prover"
"1134","a1","lytting","personer","2015","6","norsk_prover"
"1135","a1","lytting","personer","2015","2","norsk_prover"
"1146","a1","lytting","personer","2015","0","norsk_prover"
"1149","a1","lytting","personer","2015","0","norsk_prover"
"1160","a1","lytting","personer","2015","5","norsk_prover"
"1201","a1","lytting","personer","2015","35","norsk_prover"
"1211","a1","lytting","personer","2015","1","norsk_prover"
"1216","a1","lytting","personer","2015",":","norsk_prover"
"1219","a1","lytting","personer","2015","2","norsk_prover"
"1221","a1","lytting","personer","2015","3","norsk_prover"
"1224","a1","lytting","personer","2015",":","norsk_prover"
"1228","a1","lytting","personer","2015","2","norsk_prover"
"1231","a1","lytting","personer","2015","4","norsk_prover"
"1235","a1","lytting","personer","2015","4","norsk_prover"
"1238","a1","lytting","personer","2015","3","norsk_prover"
"1241","a1","lytting","personer","2015",":","norsk_prover"
"1243","a1","lytting","personer","2015","0","norsk_prover"
"1244","a1","lytting","personer","2015",":","norsk_prover"
"1245","a1","lytting","personer","2015",":","norsk_prover"
"1246","a1","lytting","personer","2015","2","norsk_prover"
"1247","a1","lytting","personer","2015","4","norsk_prover"
"1259","a1","lytting","personer","2015",":","norsk_prover"
"1263","a1","lytting","personer","2015","4","norsk_prover"
"1401","a1","lytting","personer","2015","3","norsk_prover"
"1411","a1","lytting","personer","2015",":","norsk_prover"
"1413","a1","lytting","personer","2015",":","norsk_prover"
"1416","a1","lytting","personer","2015",":","norsk_prover"
"1420","a1","lytting","personer","2015","5","norsk_prover"
"1424","a1","lytting","personer","2015",":","norsk_prover"
"1428","a1","lytting","personer","2015",":","norsk_prover"
"1432","a1","lytting","personer","2015","0","norsk_prover"
"1439","a1","lytting","personer","2015",":","norsk_prover"
"1443","a1","lytting","personer","2015","2","norsk_prover"
"1445","a1","lytting","personer","2015",":","norsk_prover"
"1449","a1","lytting","personer","2015","0","norsk_prover"
"1502","a1","lytting","personer","2015","6","norsk_prover"
"1504","a1","lytting","personer","2015","8","norsk_prover"
"1505","a1","lytting","personer","2015","0","norsk_prover"
"1514","a1","lytting","personer","2015",":","norsk_prover"
"1515","a1","lytting","personer","2015","2","norsk_prover"
"1516","a1","lytting","personer","2015",":","norsk_prover"
"1517","a1","lytting","personer","2015",":","norsk_prover"
"1519","a1","lytting","personer","2015","0","norsk_prover"
"1520","a1","lytting","personer","2015","3","norsk_prover"
"1525","a1","lytting","personer","2015",":","norsk_prover"
"1528","a1","lytting","personer","2015","2","norsk_prover"
"1534","a1","lytting","personer","2015","0","norsk_prover"
"1535","a1","lytting","personer","2015","6","norsk_prover"
"1539","a1","lytting","personer","2015",":","norsk_prover"
"1548","a1","lytting","personer","2015",":","norsk_prover"
"1551","a1","lytting","personer","2015",":","norsk_prover"
"1557","a1","lytting","personer","2015",":","norsk_prover"
"1560","a1","lytting","personer","2015","1","norsk_prover"
"1563","a1","lytting","personer","2015","2","norsk_prover"
"1566","a1","lytting","personer","2015",":","norsk_prover"
"1571","a1","lytting","personer","2015",":","norsk_prover"
"1601","a1","lytting","personer","2015","23","norsk_prover"
"1612","a1","lytting","personer","2015",":","norsk_prover"
"1617","a1","lytting","personer","2015","1","norsk_prover"
"1621","a1","lytting","personer","2015","4","norsk_prover"
"1624","a1","lytting","personer","2015","5","norsk_prover"
"1630","a1","lytting","personer","2015","0","norsk_prover"
"1635","a1","lytting","personer","2015","2","norsk_prover"
"1638","a1","lytting","personer","2015","0","norsk_prover"
"1640","a1","lytting","personer","2015","5","norsk_prover"
"1653","a1","lytting","personer","2015","2","norsk_prover"
"1702","a1","lytting","personer","2015","9","norsk_prover"
"1703","a1","lytting","personer","2015","5","norsk_prover"
"1711","a1","lytting","personer","2015",":","norsk_prover"
"1714","a1","lytting","personer","2015","8","norsk_prover"
"1719","a1","lytting","personer","2015","5","norsk_prover"
"1721","a1","lytting","personer","2015","1","norsk_prover"
"1736","a1","lytting","personer","2015",":","norsk_prover"
"1750","a1","lytting","personer","2015","2","norsk_prover"
"1751","a1","lytting","personer","2015","4","norsk_prover"
"1756","a1","lytting","personer","2015","2","norsk_prover"
"1804","a1","lytting","personer","2015","7","norsk_prover"
"1805","a1","lytting","personer","2015","4","norsk_prover"
"1813","a1","lytting","personer","2015","0","norsk_prover"
"1818","a1","lytting","personer","2015",":","norsk_prover"
"1820","a1","lytting","personer","2015","6","norsk_prover"
"1822","a1","lytting","personer","2015",":","norsk_prover"
"1824","a1","lytting","personer","2015","1","norsk_prover"
"1826","a1","lytting","personer","2015",":","norsk_prover"
"1827","a1","lytting","personer","2015",":","norsk_prover"
"1828","a1","lytting","personer","2015",":","norsk_prover"
"1832","a1","lytting","personer","2015",":","norsk_prover"
"1833","a1","lytting","personer","2015","8","norsk_prover"
"1834","a1","lytting","personer","2015",":","norsk_prover"
"1838","a1","lytting","personer","2015","4","norsk_prover"
"1840","a1","lytting","personer","2015",":","norsk_prover"
"1841","a1","lytting","personer","2015","1","norsk_prover"
"1848","a1","lytting","personer","2015",":","norsk_prover"
"1849","a1","lytting","personer","2015","10","norsk_prover"
"1850","a1","lytting","personer","2015",":","norsk_prover"
"1851","a1","lytting","personer","2015","6","norsk_prover"
"1854","a1","lytting","personer","2015",":","norsk_prover"
"1860","a1","lytting","personer","2015","5","norsk_prover"
"1865","a1","lytting","personer","2015","1","norsk_prover"
"1866","a1","lytting","personer","2015","1","norsk_prover"
"1867","a1","lytting","personer","2015",":","norsk_prover"
"1868","a1","lytting","personer","2015","0","norsk_prover"
"1870","a1","lytting","personer","2015","0","norsk_prover"
"1871","a1","lytting","personer","2015",":","norsk_prover"
"1903","a1","lytting","personer","2015","9","norsk_prover"
"1902","a1","lytting","personer","2015","13","norsk_prover"
"1919","a1","lytting","personer","2015",":","norsk_prover"
"1922","a1","lytting","personer","2015",":","norsk_prover"
"1923","a1","lytting","personer","2015","0","norsk_prover"
"1924","a1","lytting","personer","2015","1","norsk_prover"
"1927","a1","lytting","personer","2015","3","norsk_prover"
"1929","a1","lytting","personer","2015",":","norsk_prover"
"1931","a1","lytting","personer","2015","7","norsk_prover"
"1933","a1","lytting","personer","2015",":","norsk_prover"
"1939","a1","lytting","personer","2015",":","norsk_prover"
"1940","a1","lytting","personer","2015",":","norsk_prover"
"1941","a1","lytting","personer","2015",":","norsk_prover"
"1942","a1","lytting","personer","2015","1","norsk_prover"
"2003","a1","lytting","personer","2015","6","norsk_prover"
"2004","a1","lytting","personer","2015","3","norsk_prover"
"2011","a1","lytting","personer","2015",":","norsk_prover"
"2012","a1","lytting","personer","2015","1","norsk_prover"
"2020","a1","lytting","personer","2015","7","norsk_prover"
"2023","a1","lytting","personer","2015",":","norsk_prover"
"2025","a1","lytting","personer","2015",":","norsk_prover"
"2028","a1","lytting","personer","2015",":","norsk_prover"
"2030","a1","lytting","personer","2015","3","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
"","a1","lytting","personer","2015","","norsk_prover"
