"tabell_navn","aar","bydel_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","030116","ja","personer","alle","30"
"flyktning_botid_flytting","2015","030116","ja","prosent","alle","29.4"
"flyktning_botid_flytting","2015","030116","nei","personer","alle","50"
"flyktning_botid_flytting","2015","030116","nei","prosent","alle","49"
"flyktning_botid_flytting","2015","030116","uoppgitt","personer","alle","22"
"flyktning_botid_flytting","2015","030116","uoppgitt","prosent","alle","21.5"
"flyktning_botid_flytting","2015","030117","alle","personer","alle","6"
"flyktning_botid_flytting","2015","030117","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030117","ja","personer","alle","0"
"flyktning_botid_flytting","2015","030117","ja","prosent","alle","0"
"flyktning_botid_flytting","2015","030117","nei","personer","alle","3"
"flyktning_botid_flytting","2015","030117","nei","prosent","alle","50"
"flyktning_botid_flytting","2015","030117","uoppgitt","personer","alle","3"
"flyktning_botid_flytting","2015","030117","uoppgitt","prosent","alle","50"
"flyktning_botid_flytting","2015","030199","alle","personer","alle","947"
"flyktning_botid_flytting","2015","030199","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030199","ja","personer","alle","253"
"flyktning_botid_flytting","2015","030199","ja","prosent","alle","26.7"
"flyktning_botid_flytting","2015","030199","nei","personer","alle","479"
"flyktning_botid_flytting","2015","030199","nei","prosent","alle","50.6"
"flyktning_botid_flytting","2015","030199","uoppgitt","personer","alle","215"
"flyktning_botid_flytting","2015","030199","uoppgitt","prosent","alle","22.7"
