"tabell_navn","aar","fylke_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","12","ja","prosent","alle","59.4"
"flyktning_botid_flytting","2015","12","nei","personer","alle","2712"
"flyktning_botid_flytting","2015","12","nei","prosent","alle","19.8"
"flyktning_botid_flytting","2015","12","uoppgitt","personer","alle","2835"
"flyktning_botid_flytting","2015","12","uoppgitt","prosent","alle","20.8"
"flyktning_botid_flytting","2015","14","alle","personer","alle","2242"
"flyktning_botid_flytting","2015","14","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","14","ja","personer","alle","1592"
"flyktning_botid_flytting","2015","14","ja","prosent","alle","71"
"flyktning_botid_flytting","2015","14","nei","personer","alle","265"
"flyktning_botid_flytting","2015","14","nei","prosent","alle","11.8"
"flyktning_botid_flytting","2015","14","uoppgitt","personer","alle","385"
"flyktning_botid_flytting","2015","14","uoppgitt","prosent","alle","17.2"
"flyktning_botid_flytting","2015","15","alle","personer","alle","5004"
"flyktning_botid_flytting","2015","15","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","15","ja","personer","alle","3331"
"flyktning_botid_flytting","2015","15","ja","prosent","alle","66.6"
"flyktning_botid_flytting","2015","15","nei","personer","alle","906"
"flyktning_botid_flytting","2015","15","nei","prosent","alle","18.1"
"flyktning_botid_flytting","2015","15","uoppgitt","personer","alle","767"
"flyktning_botid_flytting","2015","15","uoppgitt","prosent","alle","15.4"
"flyktning_botid_flytting","2015","16","alle","personer","alle","7868"
"flyktning_botid_flytting","2015","16","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","16","ja","personer","alle","5205"
"flyktning_botid_flytting","2015","16","ja","prosent","alle","66.2"
"flyktning_botid_flytting","2015","16","nei","personer","alle","1377"
"flyktning_botid_flytting","2015","16","nei","prosent","alle","17.5"
"flyktning_botid_flytting","2015","16","uoppgitt","personer","alle","1286"
"flyktning_botid_flytting","2015","16","uoppgitt","prosent","alle","16.3"
"flyktning_botid_flytting","2015","17","alle","personer","alle","3058"
"flyktning_botid_flytting","2015","17","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","17","ja","personer","alle","2290"
"flyktning_botid_flytting","2015","17","ja","prosent","alle","74.9"
"flyktning_botid_flytting","2015","17","nei","personer","alle","356"
"flyktning_botid_flytting","2015","17","nei","prosent","alle","11.6"
"flyktning_botid_flytting","2015","17","uoppgitt","personer","alle","412"
"flyktning_botid_flytting","2015","17","uoppgitt","prosent","alle","13.5"
"flyktning_botid_flytting","2015","18","alle","personer","alle","6090"
"flyktning_botid_flytting","2015","18","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","18","ja","personer","alle","4361"
"flyktning_botid_flytting","2015","18","ja","prosent","alle","71.6"
"flyktning_botid_flytting","2015","18","nei","personer","alle","738"
"flyktning_botid_flytting","2015","18","nei","prosent","alle","12.1"
"flyktning_botid_flytting","2015","18","uoppgitt","personer","alle","991"
"flyktning_botid_flytting","2015","18","uoppgitt","prosent","alle","16.2"
"flyktning_botid_flytting","2015","19","alle","personer","alle","3827"
"flyktning_botid_flytting","2015","19","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","19","ja","personer","alle","2548"
"flyktning_botid_flytting","2015","19","ja","prosent","alle","66.5"
"flyktning_botid_flytting","2015","19","nei","personer","alle","603"
"flyktning_botid_flytting","2015","19","nei","prosent","alle","15.7"
"flyktning_botid_flytting","2015","19","uoppgitt","personer","alle","676"
"flyktning_botid_flytting","2015","19","uoppgitt","prosent","alle","17.7"
"flyktning_botid_flytting","2015","20","alle","personer","alle","1951"
"flyktning_botid_flytting","2015","20","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","20","ja","personer","alle","1413"
"flyktning_botid_flytting","2015","20","ja","prosent","alle","72.5"
"flyktning_botid_flytting","2015","20","nei","personer","alle","204"
"flyktning_botid_flytting","2015","20","nei","prosent","alle","10.5"
"flyktning_botid_flytting","2015","20","uoppgitt","personer","alle","334"
"flyktning_botid_flytting","2015","20","uoppgitt","prosent","alle","17.2"
