Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
399;1922;1;Bardu;;;;;;;
400;1923;1;Salangen;;;;;;;
401;1924;1;Målselv;;;;;;;
402;1925;1;Sørreisa;;;;;;;
403;1926;1;Dyrøy;;;;;;;
404;1927;1;Tranøy;;;;;;;
405;1928;1;Torsken;;;;;;;
406;1929;1;Berg;;;;;;;
407;1931;1;Lenvik;;;;;;;
408;1933;1;Balsfjord;;;;;;;
409;1936;1;Karlsøy;;;;;;;
410;1938;1;Lyngen;Den 1.1.92 ble et ubebodd område overført fra 1938 Lyngen kommune (gnr. 41 i grunnkrets 0101 Nordnes) overført til 1939 Storfjord kommune.;Den 1.1. 1992 ble en del av 1938 Lyngen kommune (grunnkrets 0101 Nordnes) overført til 1940 Kåfjord kommune (38 personer og et areal på ca. 44 km2);;;;;
411;1939;1;Storfjord;Den 1.1. 1992 ble et ubebodd område overført fra 1938 Lyngen kommune (gnr. 41 i grunnkrets 0101 Nordnes) til 1939 Storfjord kommune.;;;;;;
412;1940;1;Gáivuotna - Kåfjord;;Den 1.1 1992 ble en del av 1938 Lyngen kommune (grunnkrets 0101 Nordnes) overført til 1940 Kåfjord kommune (grunnkrets 0108 Nordnes - 38 personer og et areal på ca. 44 km2).;;;;;
413;1941;1;Skjervøy;;Den 1.1. 1982 ble en del av 1941 Skjervøy kommune (Hamneidet) overført til 1942 Nordreisa kommune (128 personer).;;;;;
414;1942;1;Nordreisa;;Den 1.1. 1982 ble en del av 1941 Skjervøy kommune (Hamneidet) overført til 1942 Nordreisa kommune (128 personer).;;;;;
415;1943;1;Kvænangen;;;;;;;
416;2002;1;Vardø;;;;;;;
417;2003;1;Vadsø;;;;;;;
418;2004;1;Hammerfest;;Kommunene 2001 Hammerfest og 2016 Sørøysund ble den 1.1. 1992 slått sammen til 2004 Hammerfest kommune.;;;;;
419;2011;1;Guovdageaidnu - Kautokeino;;;;;;;
420;2012;1;Alta;;;;;;;
421;2014;1;Loppa;;;;;;;
422;2015;1;Hasvik;;;;;;;
423;2017;1;Kvalsund;;;;;;;
424;2018;1;Måsøy;;Den 1.1. 1984 ble en del av 2018 Måsøy kommune (Gjesvær/hele Magerøya med tilliggende øyer og skjær) overført til 2019 Nordkapp (240 personer).;;;;;
425;2019;1;Nordkapp;;Den 1.1. 1984 ble en del av 2018 Måsøy kommune (Gjesvær/hele Magerøya med tilliggende øyer og skjær) overført til 2019 Nordkapp kommune (240 personer).;;;;;
426;2020;1;Porsanger;;;;;;;
427;2021;1;Kárásjohka - Karasjok;;;;;;;
428;2022;1;Lebesby;;;;;;;
429;2023;1;Gamvik;;;;;;;
430;2024;1;Berlevåg;;;;;;;
431;2025;1;Deatnu - Tana;;;;;;;
432;2027;1;Unjárga - Nesseby;;;;;;;
433;2028;1;Båtsfjord;;;;;;;
434;2030;1;Sør-Varanger;;;;;;;
435;9999;1;Uoppgitt;;;;;;;
