"aar","bydel_nr","botid_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","NULL","5+","2","personer","389","sysselsatte_botid_land","NULL","NULL","0237"
"2013","NULL","5+","2","prosent","65.7","sysselsatte_botid_land","NULL","NULL","0237"
"2013","NULL","5+","alle","personer","833","sysselsatte_botid_land","NULL","NULL","0237"
"2013","NULL","5+","alle","prosent","72.6","sysselsatte_botid_land","NULL","NULL","0237"
"2013","NULL","alle","1","personer","622","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","alle","1","prosent","78.2","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","alle","2","personer","328","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","alle","2","prosent","67.4","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","alle","alle","personer","950","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","alle","alle","prosent","74.1","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","0-4","1","personer","343","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","0-4","1","prosent","74.7","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","0-4","2","personer","60","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","0-4","2","prosent","48.8","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","0-4","alle","personer","403","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","0-4","alle","prosent","69.2","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","5+","1","personer","279","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","5+","1","prosent","83","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","5+","2","personer","268","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","5+","2","prosent","73.6","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","5+","alle","personer","547","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","5+","alle","prosent","78.1","sysselsatte_botid_land","NULL","NULL","0238"
"2013","NULL","alle","1","personer","83","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","alle","1","prosent","82.2","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","alle","2","personer","36","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","alle","2","prosent","59","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","alle","alle","personer","119","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","alle","alle","prosent","73.5","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","0-4","1","personer","30","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","0-4","1","prosent","76.9","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","0-4","2","personer","14","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","0-4","2","prosent","45.2","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","0-4","alle","personer","44","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","0-4","alle","prosent","62.9","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","5+","1","personer","53","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","5+","1","prosent","85.5","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","5+","2","personer","22","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","5+","2","prosent","73.3","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","5+","alle","personer","75","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","5+","alle","prosent","81.5","sysselsatte_botid_land","NULL","NULL","0239"
"2013","NULL","alle","1","personer","38235","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","alle","1","prosent","76.7","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","alle","2","personer","47344","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","alle","2","prosent","57.2","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","alle","alle","personer","85579","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","alle","alle","prosent","64.5","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","0-4","1","personer","19280","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","0-4","1","prosent","74.6","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","0-4","2","personer","9071","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","0-4","2","prosent","52.4","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","0-4","alle","personer","28351","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","0-4","alle","prosent","65.7","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","5+","1","personer","18955","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","5+","1","prosent","79.1","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","5+","2","personer","38273","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","5+","2","prosent","58.5","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","5+","alle","personer","57228","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","5+","alle","prosent","64","sysselsatte_botid_land","NULL","NULL","0301"
"2013","NULL","alle","1","personer","360","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","alle","1","prosent","69.9","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","alle","2","personer","365","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","alle","2","prosent","43.6","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","alle","alle","personer","725","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","alle","alle","prosent","53.6","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","0-4","1","personer","108","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","0-4","1","prosent","62.1","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","0-4","2","personer","49","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","0-4","2","prosent","23.7","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","0-4","alle","personer","157","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","0-4","alle","prosent","41.2","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","5+","1","personer","252","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","5+","1","prosent","73.9","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","5+","2","personer","316","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","5+","2","prosent","50.2","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","5+","alle","personer","568","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","5+","alle","prosent","58.5","sysselsatte_botid_land","NULL","NULL","0402"
"2013","NULL","alle","1","personer","639","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","alle","1","prosent","74.3","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","alle","2","personer","710","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","alle","2","prosent","53","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","alle","alle","personer","1349","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","alle","alle","prosent","61.3","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","0-4","1","personer","261","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","0-4","1","prosent","69.4","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","0-4","2","personer","170","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","0-4","2","prosent","42","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","0-4","alle","personer","431","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","0-4","alle","prosent","55.2","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","5+","1","personer","378","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","5+","1","prosent","78.1","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","5+","2","personer","540","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","5+","2","prosent","57.8","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","5+","alle","personer","918","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","5+","alle","prosent","64.7","sysselsatte_botid_land","NULL","NULL","0403"
"2013","NULL","alle","1","personer","878","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","alle","1","prosent","74.9","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","alle","2","personer","376","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","alle","2","prosent","54.3","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","alle","alle","personer","1254","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","alle","alle","prosent","67.2","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","0-4","1","personer","454","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","0-4","1","prosent","71.9","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","0-4","2","personer","87","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","0-4","2","prosent","37.3","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","0-4","alle","personer","541","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","0-4","alle","prosent","62.6","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","5+","1","personer","424","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","5+","1","prosent","78.2","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","5+","2","personer","289","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","5+","2","prosent","62.8","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","5+","alle","personer","713","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","5+","alle","prosent","71.2","sysselsatte_botid_land","NULL","NULL","0412"
"2013","NULL","alle","1","personer","144","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","alle","1","prosent","68.2","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","alle","2","personer","82","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","alle","2","prosent","51.6","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","alle","alle","personer","226","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","alle","alle","prosent","61.1","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","0-4","1","personer","59","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","0-4","1","prosent","57.3","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","0-4","2","personer","23","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","0-4","2","prosent","45.1","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","0-4","alle","personer","82","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","0-4","alle","prosent","53.2","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","5+","1","personer","85","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","5+","1","prosent","78.7","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","5+","2","personer","59","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","5+","2","prosent","54.6","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","5+","alle","personer","144","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","5+","alle","prosent","66.7","sysselsatte_botid_land","NULL","NULL","0415"
"2013","NULL","alle","1","personer","431","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","alle","1","prosent","73.1","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","alle","2","personer","284","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","alle","2","prosent","51.2","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","alle","alle","personer","715","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","alle","alle","prosent","62.4","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","0-4","1","personer","156","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","0-4","1","prosent","63.2","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","0-4","2","personer","78","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","0-4","2","prosent","39.2","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","0-4","alle","personer","234","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","0-4","alle","prosent","52.5","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","5+","1","personer","275","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","5+","1","prosent","80.2","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","5+","2","personer","206","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","5+","2","prosent","57.9","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","5+","alle","personer","481","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","5+","alle","prosent","68.8","sysselsatte_botid_land","NULL","NULL","0417"
"2013","NULL","alle","1","personer","71","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","alle","1","prosent","69.6","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","alle","2","personer","24","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","alle","2","prosent","50","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","alle","alle","personer","95","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","alle","alle","prosent","63.3","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","0-4","1","personer","39","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","0-4","1","prosent","78","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","0-4","2","personer","0","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","0-4","2","prosent","0","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","0-4","alle","personer","39","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","0-4","alle","prosent","60.9","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","5+","1","personer","32","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","5+","1","prosent","61.5","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","5+","2","personer","24","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","5+","2","prosent","70.6","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","5+","alle","personer","56","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","5+","alle","prosent","65.1","sysselsatte_botid_land","NULL","NULL","0418"
"2013","NULL","alle","1","personer","141","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","alle","1","prosent","72.3","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","alle","2","personer","73","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","alle","2","prosent","56.6","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","alle","alle","personer","214","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","alle","alle","prosent","66","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","0-4","1","personer","55","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","0-4","1","prosent","65.5","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","0-4","2","personer","15","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","0-4","2","prosent","33.3","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","0-4","alle","personer","70","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","0-4","alle","prosent","54.3","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","5+","1","personer","86","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","5+","1","prosent","77.5","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","5+","2","personer","58","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","5+","2","prosent","69","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","5+","alle","personer","144","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","5+","alle","prosent","73.8","sysselsatte_botid_land","NULL","NULL","0419"
"2013","NULL","alle","1","personer","120","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","alle","1","prosent","65.9","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","alle","2","personer","50","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","alle","2","prosent","41.3","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","alle","alle","personer","170","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","alle","alle","prosent","56.1","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","0-4","1","personer",":","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","0-4","1","prosent",":","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","0-4","2","personer",":","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","0-4","2","prosent",":","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","0-4","alle","personer","40","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","0-4","alle","prosent","44","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","5+","1","personer","81","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","5+","1","prosent","64.8","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","5+","2","personer","49","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","5+","2","prosent","56.3","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","5+","alle","personer","130","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","5+","alle","prosent","61.3","sysselsatte_botid_land","NULL","NULL","0420"
"2013","NULL","alle","1","personer","102","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","alle","1","prosent","69.9","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","alle","2","personer","54","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","alle","2","prosent","60","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","alle","alle","personer","156","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","alle","alle","prosent","66.1","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","0-4","1","personer","32","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","0-4","1","prosent","68.1","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","0-4","2","personer","12","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","0-4","2","prosent","44.4","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","0-4","alle","personer","44","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","0-4","alle","prosent","59.5","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","5+","1","personer","70","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","5+","1","prosent","70.7","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","5+","2","personer","42","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","5+","2","prosent","66.7","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","5+","alle","personer","112","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","5+","alle","prosent","69.1","sysselsatte_botid_land","NULL","NULL","0423"
"2013","NULL","alle","1","personer","110","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","alle","1","prosent","66.3","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","alle","2","personer","70","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","alle","2","prosent","42.4","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","alle","alle","personer","180","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","alle","alle","prosent","54.4","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","0-4","1","personer","59","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","0-4","1","prosent","72","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","0-4","2","personer","23","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","0-4","2","prosent","26.4","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","0-4","alle","personer","82","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","0-4","alle","prosent","48.5","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","5+","1","personer","51","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","5+","1","prosent","60.7","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","5+","2","personer","47","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","5+","2","prosent","60.3","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","5+","alle","personer","98","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","5+","alle","prosent","60.5","sysselsatte_botid_land","NULL","NULL","0425"
"2013","NULL","alle","1","personer","92","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","alle","1","prosent","71.9","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","alle","2","personer","26","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","alle","2","prosent","57.8","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","alle","alle","personer","118","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","alle","alle","prosent","68.2","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","0-4","1","personer","44","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","0-4","1","prosent","69.8","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","0-4","2","personer","8","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","0-4","2","prosent","40","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","0-4","alle","personer","52","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","0-4","alle","prosent","62.7","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","5+","1","personer","48","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","5+","1","prosent","73.8","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","5+","2","personer","18","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","5+","2","prosent","72","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","5+","alle","personer","66","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","5+","alle","prosent","73.3","sysselsatte_botid_land","NULL","NULL","0426"
"2013","NULL","alle","1","personer","361","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","alle","1","prosent","70.4","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","alle","2","personer","365","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","alle","2","prosent","52.7","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","alle","alle","personer","726","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","alle","alle","prosent","60.2","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","0-4","1","personer","160","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","0-4","1","prosent","66.4","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","0-4","2","personer","79","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","0-4","2","prosent","41.6","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","0-4","alle","personer","239","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","0-4","alle","prosent","55.5","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","5+","1","personer","201","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","5+","1","prosent","73.9","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","5+","2","personer","286","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","5+","2","prosent","56.9","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","5+","alle","personer","487","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","5+","alle","prosent","62.8","sysselsatte_botid_land","NULL","NULL","0427"
"2013","NULL","alle","1","personer","213","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","alle","1","prosent","66.4","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","alle","2","personer","38","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","alle","2","prosent","33","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","alle","alle","personer","251","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","alle","alle","prosent","57.6","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","0-4","1","personer","89","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","0-4","1","prosent","61.8","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","0-4","2","personer","12","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","0-4","2","prosent","22.6","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","0-4","alle","personer","101","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","0-4","alle","prosent","51.3","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","5+","1","personer","124","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","5+","1","prosent","70.1","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","5+","2","personer","26","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","5+","2","prosent","41.9","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","5+","alle","personer","150","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","5+","alle","prosent","62.8","sysselsatte_botid_land","NULL","NULL","0428"
"2013","NULL","alle","1","personer","110","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","alle","1","prosent","69.2","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","alle","2","personer","25","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","alle","2","prosent","41.7","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","alle","alle","personer","135","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","alle","alle","prosent","61.6","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","0-4","1","personer","47","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","0-4","1","prosent","63.5","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","0-4","2","personer","4","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","0-4","2","prosent","28.6","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","0-4","alle","personer","51","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","0-4","alle","prosent","58","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","5+","1","personer","63","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","5+","1","prosent","74.1","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","5+","2","personer","21","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","5+","2","prosent","45.7","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","5+","alle","personer","84","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","5+","alle","prosent","64.1","sysselsatte_botid_land","NULL","NULL","0429"
"2013","NULL","alle","1","personer","63","sysselsatte_botid_land","NULL","NULL","0430"
"2013","NULL","alle","1","prosent","64.3","sysselsatte_botid_land","NULL","NULL","0430"
"2013","NULL","alle","2","personer","40","sysselsatte_botid_land","NULL","NULL","0430"
"2013","NULL","alle","2","prosent","20.9","sysselsatte_botid_land","NULL","NULL","0430"
"2013","NULL","alle","alle","personer","103","sysselsatte_botid_land","NULL","NULL","0430"
"2013","NULL","alle","alle","prosent","35.6","sysselsatte_botid_land","NULL","NULL","0430"
